0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:04 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:50:04 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7082
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:19 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:20 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:20 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:21 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:21 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7136
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:26 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd= HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:26 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:53 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:53 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:53 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:54 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:54 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7092
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:56 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd= HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:51:56 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:24 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:25 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:25 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:26 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:27 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 200 7102
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:30 +0900] "GET /RecommedationMovie/Rating.jsp?movieCd= HTTP/1.1" 200 5675
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:30 +0900] "GET /RecommedationMovie/... HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:42 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:42 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:42 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:43 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:43 +0900] "GET /RecommedationMovie/RecommendList.jsp?page=0 HTTP/1.1" 500 2771
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:56 +0900] "GET /RecommedationMovie/MovieMain.jsp HTTP/1.1" 200 1986
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:57 +0900] "GET /RecommedationMovie/HomeContentView.jsp HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:57 +0900] "GET /RecommedationMovie/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2016:23:52:58 +0900] "GET /RecommedationMovie/Recommending.jsp HTTP/1.1" 302 -
